sample,prediction,probability
0,1,0.99
1,0,0.06
2,1,0.82
3,0,0.02
4,1,0.9
5,0,0.06
6,1,0.71
7,0,0.22
8,1,0.93
9,1,0.73
10,0,0.32
11,1,0.98
12,0,0.17
13,1,0.93
14,1,0.85
15,1,0.89
16,1,0.92
17,1,0.94
18,0,0.13
19,1,0.86
20,0,0.11
21,0,0.22
22,1,0.97
23,1,0.6
24,1,0.9
25,0,0.35
26,1,0.88
27,0,0.0
28,0,0.07
29,0,0.22
30,1,0.71
31,1,0.99
32,0,0.03
33,0,0.02
34,0,0.33
35,0,0.05
36,0,0.32
37,1,0.94
38,1,0.72
39,1,0.56
40,0,0.25
41,0,0.26
42,0,0.07
43,1,0.98
44,1,0.9
45,1,0.97
46,0,0.18
47,0,0.04
48,1,0.89
49,0,0.19
50,0,0.0
51,0,0.07
52,0,0.01
53,1,0.96
54,1,0.95
55,0,0.05
56,1,0.96
57,0,0.18
58,0,0.19
59,0,0.25
60,0,0.03
61,1,0.91
62,0,0.04
63,0,0.43
64,1,0.98
65,0,0.27
66,1,0.65
67,1,0.62
68,0,0.01
69,0,0.13
70,0,0.34
71,0,0.32
72,1,0.59
73,0,0.1
74,0,0.01
75,0,0.0
76,0,0.12
77,0,0.11
78,1,0.75
79,0,0.01
80,0,0.02
81,0,0.04
82,0,0.08
83,0,0.0
84,1,0.89
85,0,0.29
86,0,0.32
87,0,0.06
88,0,0.48
89,0,0.01
90,0,0.0
91,0,0.2
92,0,0.09
93,1,0.66
94,0,0.04
95,0,0.35
96,0,0.04
97,0,0.01
98,0,0.03
99,1,0.83
100,1,0.96
101,0,0.29
102,0,0.05
103,0,0.02
104,0,0.17
105,0,0.13
106,0,0.02
107,1,0.66
108,0,0.06
109,1,0.68
110,1,0.79
111,1,0.93
112,0,0.03
113,0,0.06
114,1,0.99
115,1,0.86
116,1,0.93
117,0,0.1
118,0,0.03
119,0,0.03
120,1,0.78
121,0,0.2
122,0,0.09
123,0,0.14
124,1,0.77
125,1,0.9
126,0,0.31
127,0,0.06
128,1,0.84
129,1,0.81
130,1,0.95
131,1,0.85
132,1,0.98
133,0,0.23
134,0,0.02
135,0,0.21
136,0,0.19
137,0,0.14
138,0,0.39
139,0,0.31
140,0,0.09
141,0,0.3
142,0,0.05
143,1,0.96
144,0,0.22
145,0,0.07
146,0,0.06
147,0,0.32
148,0,0.18
149,0,0.01
150,0,0.18
151,0,0.06
152,1,0.96
153,0,0.26
154,1,0.94
155,1,0.94
156,0,0.0
157,0,0.0
158,0,0.02
159,1,0.92
160,0,0.24
161,0,0.09
162,0,0.08
163,0,0.03
164,1,0.94
165,1,0.83
166,0,0.18
167,0,0.27
168,1,0.65
169,0,0.08
170,1,0.83
171,1,0.86
172,0,0.01
173,0,0.13
174,0,0.14
175,1,0.95
176,0,0.06
177,1,0.87
178,0,0.31
179,1,0.96
180,0,0.03
181,0,0.12
182,0,0.01
183,0,0.03
184,1,0.65
185,1,1.0
186,1,0.94
187,1,0.92
188,1,0.88
189,1,0.88
190,0,0.01
191,0,0.16
192,1,0.96
193,1,0.92
194,0,0.02
195,1,0.96
196,0,0.0
197,1,0.71
198,0,0.39
199,0,0.36
200,0,0.08
201,0,0.19
202,0,0.17
203,0,0.03
204,0,0.15
205,0,0.04
206,1,0.98
207,1,0.92
208,0,0.03
209,1,0.97
210,0,0.0
211,0,0.29
212,0,0.36
213,1,0.54
214,1,0.86
215,1,0.87
216,1,0.88
217,0,0.23
218,0,0.31
219,1,0.9
220,1,0.88
221,1,0.65
222,0,0.03
223,0,0.23
224,0,0.02
225,0,0.06
226,0,0.03
227,1,0.95
228,0,0.35
229,0,0.18
230,1,0.84
231,1,0.89
232,0,0.05
233,0,0.28
234,0,0.04
235,1,0.98
236,1,0.99
237,1,0.79
238,1,0.99
239,0,0.03
240,0,0.01
241,0,0.04
242,1,0.81
243,1,0.8
244,1,0.67
245,1,0.95
246,0,0.25
247,1,0.62
248,0,0.26
249,0,0.03
250,0,0.3
251,0,0.14
252,0,0.02
253,0,0.03
254,1,0.59
255,1,0.82
256,1,0.61
257,0,0.03
258,0,0.19
259,1,0.87
260,1,0.87
261,1,0.73
262,0,0.07
263,0,0.19
264,1,0.97
265,0,0.29
266,1,0.91
267,0,0.26
268,0,0.02
269,1,0.82
270,1,0.85
271,0,0.08
272,0,0.06
273,0,0.03
274,0,0.32
275,0,0.26
276,1,0.76
277,0,0.1
278,0,0.04
279,0,0.05
280,1,0.81
281,1,0.6
282,0,0.13
283,1,0.92
284,1,0.71
285,0,0.14
286,0,0.41
287,1,0.89
288,0,0.03
289,0,0.23
290,0,0.05
291,1,0.64
292,1,0.9
293,1,0.86
294,0,0.29
295,0,0.33
296,1,0.63
297,0,0.1
298,1,0.58
299,0,0.11
300,1,0.98
301,1,0.8
302,0,0.04
303,1,0.8
304,0,0.14
305,0,0.08
306,1,0.86
307,0,0.05
308,1,0.79
309,1,0.8
310,0,0.07
311,0,0.16
312,0,0.26
313,0,0.1
314,1,0.96
315,0,0.01
316,0,0.02
317,1,0.99
318,0,0.31
319,1,0.55
320,0,0.21
321,0,0.3
322,1,0.78
323,1,0.76
324,0,0.13
325,0,0.18
326,1,0.84
327,1,0.94
328,1,0.61
329,0,0.08
330,0,0.03
331,0,0.03
332,1,0.9
333,0,0.08
334,0,0.0
335,0,0.39
336,0,0.29
337,1,0.96
338,1,0.96
339,1,0.99
340,0,0.06
341,0,0.06
342,0,0.07
343,0,0.17
344,0,0.2
345,0,0.21
346,0,0.23
347,0,0.04
348,0,0.01
349,1,0.68
350,0,0.04
351,1,0.59
352,0,0.01
353,0,0.03
354,0,0.11
355,1,0.9
356,1,0.86
357,1,0.86
358,0,0.09
359,1,0.97
360,1,0.97
361,1,0.53
362,0,0.15
363,1,0.61
364,0,0.25
365,0,0.28
366,1,0.87
367,0,0.0
368,0,0.02
369,1,0.86
370,1,0.9
371,0,0.27
372,0,0.04
373,0,0.01
374,0,0.24
375,1,0.92
376,0,0.0
377,0,0.22
378,1,0.94
379,0,0.17
380,0,0.13
381,0,0.01
382,0,0.07
383,0,0.02
384,0,0.07
385,0,0.04
386,1,0.98
387,1,0.81
388,1,0.88
389,0,0.13
390,0,0.21
391,1,0.96
392,0,0.03
393,0,0.04
394,1,0.97
395,0,0.18
396,0,0.06
397,1,0.84
398,0,0.0
399,1,0.94
400,1,0.91
401,0,0.15
402,1,0.78
403,0,0.03
404,1,0.99
405,0,0.16
406,1,0.96
407,0,0.0
408,1,0.54
409,1,0.91
410,0,0.21
411,0,0.31
412,0,0.22
413,0,0.03
414,1,0.91
415,1,0.9
416,0,0.06
417,1,0.94
418,0,0.0
419,1,0.8
420,0,0.08
421,0,0.01
422,0,0.12
423,0,0.05
424,1,0.97
425,1,0.84
426,0,0.05
427,1,0.97
428,0,0.25
429,0,0.34
430,0,0.01
431,0,0.07
432,0,0.07
433,0,0.12
434,0,0.06
435,1,0.81
436,1,0.7
437,0,0.32
438,0,0.0
439,1,0.63
440,1,0.98
441,0,0.04
442,0,0.09
443,1,0.99
444,1,0.76
445,1,0.79
446,0,0.02
447,0,0.07
448,1,0.74
449,0,0.03
450,0,0.0
451,1,0.87
452,0,0.12
453,0,0.06
454,0,0.05
455,1,0.96
456,0,0.16
457,0,0.01
458,1,0.99
459,0,0.14
460,0,0.06
461,0,0.0
462,0,0.25
463,0,0.06
464,0,0.04
465,0,0.04
466,0,0.04
467,0,0.13
468,1,0.84
469,0,0.3
470,0,0.18
471,0,0.33
472,0,0.09
473,0,0.23
474,0,0.13
475,0,0.19
476,1,0.86
477,0,0.05
478,0,0.03
479,1,0.54
480,1,0.97
481,0,0.11
482,0,0.03
483,0,0.06
484,1,0.96
485,1,0.88
486,1,0.67
487,0,0.32
488,0,0.01
489,0,0.21
490,0,0.11
491,0,0.07
492,0,0.14
493,1,0.69
494,0,0.08
495,0,0.22
496,0,0.04
497,0,0.03
498,1,0.86
499,1,0.67
500,0,0.02
501,0,0.04
502,1,0.83
503,0,0.16
504,0,0.08
505,0,0.04
506,1,0.91
507,0,0.14
508,0,0.04
509,0,0.04
510,1,0.67
511,0,0.02
512,0,0.02
513,0,0.09
514,0,0.0
515,1,0.75
516,1,0.96
517,0,0.23
518,0,0.1
519,0,0.05
520,0,0.02
521,0,0.47
522,1,0.61
523,1,0.99
524,0,0.17
525,0,0.03
526,0,0.0
527,0,0.02
528,0,0.36
529,0,0.18
530,0,0.03
531,0,0.12
532,0,0.17
533,0,0.13
534,0,0.33
535,1,0.86
536,0,0.15
537,0,0.03
538,0,0.13
539,1,0.89
540,1,0.86
541,1,0.87
542,1,0.54
543,0,0.22
544,0,0.05
545,1,0.98
546,1,1.0
547,0,0.2
548,1,0.8
549,1,0.83
550,0,0.08
551,0,0.03
552,0,0.11
553,0,0.03
554,0,0.18
555,0,0.09
556,0,0.1
557,0,0.27
558,0,0.16
559,0,0.26
560,1,0.83
561,1,0.99
562,0,0.04
563,0,0.06
564,0,0.08
565,0,0.03
566,0,0.04
567,0,0.16
568,0,0.35
569,1,0.89
570,0,0.13
571,0,0.04
572,0,0.07
573,0,0.01
574,0,0.15
575,0,0.16
576,0,0.05
577,1,0.76
578,1,0.51
579,1,0.88
580,1,0.78
581,0,0.04
582,0,0.09
583,0,0.4
584,1,0.73
585,0,0.0
586,1,0.9
587,0,0.07
588,1,0.99
589,0,0.01
590,1,0.85
591,0,0.06
592,1,0.98
593,0,0.07
594,0,0.35
595,0,0.45
596,0,0.09
597,0,0.09
598,1,0.94
599,0,0.12
600,0,0.05
601,0,0.11
602,0,0.13
603,1,0.97
604,1,0.89
605,0,0.25
606,1,0.96
607,0,0.02
608,0,0.14
609,0,0.01
610,0,0.02
611,1,0.98
612,1,0.98
613,1,0.51
614,1,0.95
615,0,0.01
616,0,0.16
617,0,0.06
618,1,0.96
619,1,0.88
620,0,0.1
621,0,0.11
622,0,0.25
623,0,0.04
624,0,0.03
625,0,0.05
626,0,0.06
627,0,0.19
628,0,0.24
629,0,0.01
630,1,0.89
631,0,0.03
632,0,0.04
633,0,0.04
634,0,0.06
635,1,0.74
636,1,0.62
637,0,0.01
638,1,0.85
639,0,0.01
640,0,0.07
641,0,0.21
642,1,0.9
643,0,0.2
644,0,0.35
645,0,0.23
646,1,0.83
647,1,0.93
648,1,0.85
649,0,0.1
650,0,0.01
651,0,0.12
652,0,0.27
653,0,0.12
654,0,0.04
655,1,0.81
656,0,0.07
657,0,0.27
658,0,0.21
659,1,0.72
660,1,0.8
661,1,0.96
662,1,0.85
663,1,0.98
664,1,0.87
665,0,0.09
666,1,0.69
667,1,0.75
668,1,0.52
669,0,0.19
670,1,0.94
671,0,0.0
672,0,0.01
673,0,0.18
674,0,0.11
675,1,0.97
676,1,0.76
677,0,0.06
678,0,0.23
679,0,0.03
680,0,0.02
681,1,0.98
682,0,0.05
683,1,0.87
684,0,0.25
685,0,0.28
686,0,0.09
687,0,0.23
688,0,0.11
689,1,0.83
690,0,0.02
691,1,0.95
692,0,0.41
693,1,0.97
694,0,0.0
695,1,0.86
696,1,0.98
697,0,0.03
698,0,0.1
699,0,0.22
700,0,0.08
701,1,0.81
702,1,1.0
703,0,0.28
704,0,0.05
705,0,0.1
706,1,0.91
707,0,0.1
708,1,0.92
709,1,0.78
710,0,0.2
711,0,0.17
712,1,0.98
713,0,0.14
714,0,0.41
715,1,0.94
716,1,0.98
717,0,0.02
718,0,0.07
719,1,0.83
720,0,0.05
721,0,0.32
722,1,0.88
723,0,0.08
724,0,0.18
725,0,0.16
726,0,0.13
727,0,0.06
728,0,0.18
729,0,0.03
730,1,0.8
731,1,0.82
732,1,0.95
733,0,0.02
734,0,0.06
735,0,0.1
736,0,0.07
737,0,0.24
738,0,0.03
739,1,0.79
740,1,0.78
741,0,0.18
742,0,0.02
743,1,0.92
744,0,0.26
745,0,0.17
746,1,0.81
747,0,0.17
748,1,0.98
749,1,0.55
750,1,0.95
751,0,0.02
752,0,0.02
753,1,0.83
754,1,0.91
755,1,0.99
756,0,0.32
757,1,0.87
758,0,0.03
759,1,0.8
760,0,0.04
761,1,1.0
762,0,0.01
763,0,0.09
764,0,0.31
765,0,0.02
766,1,0.89
767,0,0.1
